ID,Дата,Год,Месяц_год,Местоположение,Бренд,Товар,Количество,Продажи,Себестоимость,Прибыль,Рентабельность
,2021-08-01,2021,202108,на Гоголя,Galosha,KA ais-3700,73,2269789,1226400.0,1043389.0,85.08
,2021-09-01,2021,202109,на Гоголя,Galosha,KA ais-3700,78,2402868,1310400.0,1092468.0,83.37
,2021-10-01,2021,202110,на Гоголя,Galosha,KA ais-3700,64,2039168,1075200.0,963968.0,89.65
,2021-11-01,2021,202111,на Гоголя,Galosha,KA ais-3700,46,1433038,772800.0,660238.0,85.43
,2021-12-01,2021,202112,на Гоголя,Galosha,KA ais-3700,55,1710665,924000.0,786665.0,85.14
,2022-01-01,2022,202201,на Гоголя,Galosha,KA ais-3700,81,2552715,1360800.0,1191915.0,87.59
,2022-02-01,2022,202202,на Гоголя,Galosha,KA ais-3700,51,1611906,856800.0,755106.0,88.13
,2022-03-01,2022,202203,на Гоголя,Galosha,KA ais-3700,41,1253370,688800.0,564570.0,81.96
,2022-04-01,2022,202204,на Гоголя,Galosha,KA ais-3700,76,2379028,1276800.0,1102228.0,86.33
,2022-05-01,2022,202205,на Гоголя,Galosha,KA ais-3700,96,3055872,1612800.0,1443072.0,89.48
,2022-06-01,2022,202206,на Гоголя,Galosha,KA ais-3700,91,2850393,1528800.0,1321593.0,86.45
,2022-07-01,2022,202207,на Гоголя,Galosha,KA ais-3700,96,2848416,1612800.0,1235616.0,76.61
,2022-08-01,2022,202208,на Гоголя,Galosha,KA ais-3700,81,2474469,1360800.0,1113669.0,81.84
,2022-09-01,2022,202209,на Гоголя,Galosha,KA ais-3700,86,2690768,1444800.0,1245968.0,86.24
,2022-10-01,2022,202210,на Гоголя,Galosha,KA ais-3700,71,2245446,1192800.0,1052646.0,88.25
,2022-11-01,2022,202211,на Гоголя,Galosha,KA ais-3700,51,1590384,856800.0,733584.0,85.62
,2022-12-01,2022,202212,на Гоголя,Galosha,KA ais-3700,61,1855010,1024800.0,830210.0,81.01
,2021-01-01,2021,202101,на Гоголя,Galosha,KA ice-7591,70,1169140,430500.0,738640.0,171.58
,2021-02-01,2021,202102,на Гоголя,Galosha,KA ice-7591,44,717816,270600.0,447216.0,165.27
,2021-03-01,2021,202103,на Гоголя,Galosha,KA ice-7591,35,532105,215250.0,316855.0,147.2
,2021-04-01,2021,202104,на Гоголя,Galosha,KA ice-7591,66,1099956,405900.0,694056.0,170.99
,2021-05-01,2021,202105,на Гоголя,Galosha,KA ice-7591,83,1401538,510450.0,891088.0,174.57
,2021-06-01,2021,202106,на Гоголя,Galosha,KA ice-7591,79,1310926,485850.0,825076.0,169.82
,2021-07-01,2021,202107,на Гоголя,Galosha,KA ice-7591,83,1236534,510450.0,726084.0,142.24
,2021-08-01,2021,202108,на Гоголя,Galosha,KA ice-7591,70,1144080,430500.0,713580.0,165.76
,2021-09-01,2021,202109,на Гоголя,Galosha,KA ice-7591,74,1131164,455100.0,676064.0,148.55
,2021-10-01,2021,202110,на Гоголя,Galosha,KA ice-7591,61,1036695,375150.0,661545.0,176.34
,2021-11-01,2021,202111,на Гоголя,Galosha,KA ice-7591,44,704704,270600.0,434104.0,160.42
,2021-12-01,2021,202112,на Гоголя,Galosha,KA ice-7591,53,852028,325950.0,526078.0,161.4
,2022-01-01,2022,202201,на Гоголя,Galosha,KA ice-7591,77,1278123,473550.0,804573.0,169.9
,2022-02-01,2022,202202,на Гоголя,Galosha,KA ice-7591,48,802080,295200.0,506880.0,171.71
,2022-03-01,2022,202203,на Гоголя,Galosha,KA ice-7591,39,618423,239850.0,378573.0,157.84
,2022-04-01,2022,202204,на Гоголя,Galosha,KA ice-7591,72,1213488,442800.0,770688.0,174.05
,2022-05-01,2022,202205,на Гоголя,Galosha,KA ice-7591,91,1517061,559650.0,957411.0,171.07
,2022-06-01,2022,202206,на Гоголя,Galosha,KA ice-7591,87,1417752,535050.0,882702.0,164.98
,2022-07-01,2022,202207,на Гоголя,Galosha,KA ice-7591,91,1310946,559650.0,751296.0,134.24
,2022-08-01,2022,202208,на Гоголя,Galosha,KA ice-7591,77,1230460,473550.0,756910.0,159.84
,2022-09-01,2022,202209,на Гоголя,Galosha,KA ice-7591,82,1348408,504300.0,844108.0,167.38
,2022-10-01,2022,202210,на Гоголя,Galosha,KA ice-7591,67,1093306,412050.0,681256.0,165.33
,2022-11-01,2022,202211,на Гоголя,Galosha,KA ice-7591,48,781728,295200.0,486528.0,164.81
,2022-12-01,2022,202212,на Гоголя,Galosha,KA ice-7591,58,914834,356700.0,558134.0,156.47
,2021-01-01,2021,202101,на Гоголя,Galosha,KA ai-2818,92,1076216,404800.0,671416.0,165.86
,2021-02-01,2021,202102,на Гоголя,Galosha,KA ai-2818,57,731709,250800.0,480909.0,191.75
,2021-03-01,2021,202103,на Гоголя,Galosha,KA ai-2818,46,516488,202400.0,314088.0,155.18
,2021-04-01,2021,202104,на Гоголя,Galosha,KA ai-2818,86,1086524,378400.0,708124.0,187.14
,2021-05-01,2021,202105,на Гоголя,Galosha,KA ai-2818,109,1369149,479600.0,889549.0,185.48
,2021-06-01,2021,202106,на Гоголя,Galosha,KA ai-2818,103,1321490,453200.0,868290.0,191.59
,2021-07-01,2021,202107,на Гоголя,Galosha,KA ai-2818,109,1161286,479600.0,681686.0,142.14
,2021-08-01,2021,202108,на Гоголя,Galosha,KA ai-2818,92,1127644,404800.0,722844.0,178.57
,2021-09-01,2021,202109,на Гоголя,Galosha,KA ai-2818,97,1151972,426800.0,725172.0,169.91
,2021-10-01,2021,202110,на Гоголя,Galosha,KA ai-2818,80,1016720,352000.0,664720.0,188.84
,2021-11-01,2021,202111,на Гоголя,Galosha,KA ai-2818,57,711987,250800.0,461187.0,183.89
,2021-12-01,2021,202112,на Гоголя,Galosha,KA ai-2818,69,824343,303600.0,520743.0,171.52
,2022-01-01,2022,202201,на Гоголя,Galosha,KA ai-2818,101,1180690,444400.0,736290.0,165.68
,2022-02-01,2022,202202,на Гоголя,Galosha,KA ai-2818,63,798903,277200.0,521703.0,188.2
,2022-03-01,2022,202203,на Гоголя,Galosha,KA ai-2818,51,588846,224400.0,364446.0,162.41
,2022-04-01,2022,202204,на Гоголя,Galosha,KA ai-2818,95,1161755,418000.0,743755.0,177.93
,2022-05-01,2022,202205,на Гоголя,Galosha,KA ai-2818,120,1606920,528000.0,1078920.0,204.34
,2022-06-01,2022,202206,на Гоголя,Galosha,KA ai-2818,113,1363458,497200.0,866258.0,174.23
,2022-07-01,2022,202207,на Гоголя,Galosha,KA ai-2818,120,1276800,528000.0,748800.0,141.82
,2022-08-01,2022,202208,на Гоголя,Galosha,KA ai-2818,101,1172509,444400.0,728109.0,163.84
,2022-09-01,2022,202209,на Гоголя,Galosha,KA ai-2818,107,1283465,470800.0,812665.0,172.61
,2022-10-01,2022,202210,на Гоголя,Galosha,KA ai-2818,88,1146992,387200.0,759792.0,196.23
,2022-11-01,2022,202211,на Гоголя,Galosha,KA ai-2818,63,792603,277200.0,515403.0,185.93
,2022-12-01,2022,202212,на Гоголя,Galosha,KA ai-2818,76,922184,334400.0,587784.0,175.77
,2021-01-01,2021,202101,на Гоголя,Babidas,BA air-5353,46,251850,83398.0,168452.0,201.99
,2021-02-01,2021,202102,на Гоголя,Babidas,BA air-5353,29,157876,52577.0,105299.0,200.28
,2021-03-01,2021,202103,на Гоголя,Babidas,BA air-5353,23,109618,41699.0,67919.0,162.88
,2021-04-01,2021,202104,на Гоголя,Babidas,BA air-5353,44,239184,79772.0,159412.0,199.83
,2021-05-01,2021,202105,на Гоголя,Babidas,BA air-5353,55,328185,99715.0,228470.0,229.12
,2021-06-01,2021,202106,на Гоголя,Babidas,BA air-5353,52,270972,94276.0,176696.0,187.42
,2021-07-01,2021,202107,на Гоголя,Babidas,BA air-5353,55,165825,99715.0,66110.0,66.3
,2021-08-01,2021,202108,на Гоголя,Babidas,BA air-5353,46,193568,83398.0,110170.0,132.1
,2021-09-01,2021,202109,на Гоголя,Babidas,BA air-5353,49,212856,88837.0,124019.0,139.6
,2021-10-01,2021,202110,на Гоголя,Babidas,BA air-5353,41,216808,74333.0,142475.0,191.67
,2021-11-01,2021,202111,на Гоголя,Babidas,BA air-5353,29,156165,52577.0,103588.0,197.02
,2021-12-01,2021,202112,на Гоголя,Babidas,BA air-5353,35,144060,63455.0,80605.0,127.03
,2022-01-01,2022,202201,на Гоголя,Babidas,BA air-5353,51,268413,92463.0,175950.0,190.29
,2022-02-01,2022,202202,на Гоголя,Babidas,BA air-5353,32,171488,58016.0,113472.0,195.59
,2022-03-01,2022,202203,на Гоголя,Babidas,BA air-5353,26,118560,47138.0,71422.0,151.52
,2022-04-01,2022,202204,на Гоголя,Babidas,BA air-5353,48,256896,87024.0,169872.0,195.2
,2022-05-01,2022,202205,на Гоголя,Babidas,BA air-5353,61,339587,110593.0,228994.0,207.06
,2022-06-01,2022,202206,на Гоголя,Babidas,BA air-5353,57,295032,103341.0,191691.0,185.49
,2022-07-01,2022,202207,на Гоголя,Babidas,BA air-5353,61,189283,110593.0,78690.0,71.15
,2022-08-01,2022,202208,на Гоголя,Babidas,BA air-5353,51,253980,92463.0,161517.0,174.68
,2022-09-01,2022,202209,на Гоголя,Babidas,BA air-5353,54,271890,97902.0,173988.0,177.72
,2022-10-01,2022,202210,на Гоголя,Babidas,BA air-5353,45,238410,81585.0,156825.0,192.22
,2022-11-01,2022,202211,на Гоголя,Babidas,BA air-5353,32,163328,58016.0,105312.0,181.52
,2022-12-01,2022,202212,на Гоголя,Babidas,BA air-5353,38,177422,68894.0,108528.0,157.53
,2021-01-01,2021,202101,на Гоголя,Babidas,BA grou-9248,36,110916,41400.0,69516.0,167.91
,2021-02-01,2021,202102,на Гоголя,Babidas,BA grou-9248,23,81627,26450.0,55177.0,208.61
,2021-03-01,2021,202103,на Гоголя,Babidas,BA grou-9248,18,67302,20700.0,46602.0,225.13
,2021-04-01,2021,202104,на Гоголя,Babidas,BA grou-9248,34,155618,39100.0,116518.0,298.0
,2021-05-01,2021,202105,на Гоголя,Babidas,BA grou-9248,43,177977,49450.0,128527.0,259.91
,2021-06-01,2021,202106,на Гоголя,Babidas,BA grou-9248,41,153586,47150.0,106436.0,225.74
,2021-07-01,2021,202107,на Гоголя,Babidas,BA grou-9248,43,105436,49450.0,55986.0,113.22
,2021-08-01,2021,202108,на Гоголя,Babidas,BA grou-9248,36,98352,41400.0,56952.0,137.57
,2021-09-01,2021,202109,на Гоголя,Babidas,BA grou-9248,39,132756,44850.0,87906.0,196.0
,2021-10-01,2021,202110,на Гоголя,Babidas,BA grou-9248,32,149920,36800.0,113120.0,307.39
,2021-11-01,2021,202111,на Гоголя,Babidas,BA grou-9248,23,78683,26450.0,52233.0,197.48
,2021-12-01,2021,202112,на Гоголя,Babidas,BA grou-9248,27,91341,31050.0,60291.0,194.17
,2022-01-01,2022,202201,на Гоголя,Babidas,BA grou-9248,40,134600,46000.0,88600.0,192.61
,2022-02-01,2022,202202,на Гоголя,Babidas,BA grou-9248,25,83550,28750.0,54800.0,190.61
,2022-03-01,2022,202203,на Гоголя,Babidas,BA grou-9248,20,75840,23000.0,52840.0,229.74
,2022-04-01,2022,202204,на Гоголя,Babidas,BA grou-9248,38,166098,43700.0,122398.0,280.09
,2022-05-01,2022,202205,на Гоголя,Babidas,BA grou-9248,48,213648,55200.0,158448.0,287.04
,2022-06-01,2022,202206,на Гоголя,Babidas,BA grou-9248,45,175860,51750.0,124110.0,239.83
,2022-07-01,2022,202207,на Гоголя,Babidas,BA grou-9248,48,135456,55200.0,80256.0,145.39
,2022-08-01,2022,202208,на Гоголя,Babidas,BA grou-9248,40,141120,46000.0,95120.0,206.78
,2022-09-01,2022,202209,на Гоголя,Babidas,BA grou-9248,43,144308,49450.0,94858.0,191.83
,2022-10-01,2022,202210,на Гоголя,Babidas,BA grou-9248,35,112945,40250.0,72695.0,180.61
,2022-11-01,2022,202211,на Гоголя,Babidas,BA grou-9248,25,100100,28750.0,71350.0,248.17
,2022-12-01,2022,202212,на Гоголя,Babidas,BA grou-9248,30,90300,34500.0,55800.0,161.74
,2021-01-01,2021,202101,на Гоголя,Babidas,BA gre-3658,47,218879,62698.0,156181.0,249.1
,2021-02-01,2021,202102,на Гоголя,Babidas,BA gre-3658,29,123685,38686.0,84999.0,219.72
,2021-03-01,2021,202103,на Гоголя,Babidas,BA gre-3658,24,77688,32016.0,45672.0,142.65
,2021-04-01,2021,202104,на Гоголя,Babidas,BA gre-3658,44,186384,58696.0,127688.0,217.54
,2021-05-01,2021,202105,на Гоголя,Babidas,BA gre-3658,56,264376,74704.0,189672.0,253.9
,2021-06-01,2021,202106,на Гоголя,Babidas,BA gre-3658,53,229702,70702.0,159000.0,224.89
,2021-07-01,2021,202107,на Гоголя,Babidas,BA gre-3658,56,131320,74704.0,56616.0,75.79
,2021-08-01,2021,202108,на Гоголя,Babidas,BA gre-3658,47,152280,62698.0,89582.0,142.88
,2021-09-01,2021,202109,на Гоголя,Babidas,BA gre-3658,50,174600,66700.0,107900.0,161.77
,2021-10-01,2021,202110,на Гоголя,Babidas,BA gre-3658,41,190281,54694.0,135587.0,247.9
,2021-11-01,2021,202111,на Гоголя,Babidas,BA gre-3658,29,112462,38686.0,73776.0,190.7
,2021-12-01,2021,202112,на Гоголя,Babidas,BA gre-3658,35,142170,46690.0,95480.0,204.5
,2022-01-01,2022,202201,на Гоголя,Babidas,BA gre-3658,52,231504,69368.0,162136.0,233.73
,2022-02-01,2022,202202,на Гоголя,Babidas,BA gre-3658,32,136224,42688.0,93536.0,219.12
,2022-03-01,2022,202203,на Гоголя,Babidas,BA gre-3658,26,96148,34684.0,61464.0,177.21
,2022-04-01,2022,202204,на Гоголя,Babidas,BA gre-3658,48,222192,64032.0,158160.0,247.0
,2022-05-01,2022,202205,на Гоголя,Babidas,BA gre-3658,61,305854,81374.0,224480.0,275.86
,2022-06-01,2022,202206,на Гоголя,Babidas,BA gre-3658,58,239598,77372.0,162226.0,209.67
,2022-07-01,2022,202207,на Гоголя,Babidas,BA gre-3658,61,165310,81374.0,83936.0,103.15
,2022-08-01,2022,202208,на Гоголя,Babidas,BA gre-3658,52,173264,69368.0,103896.0,149.78
,2022-09-01,2022,202209,на Гоголя,Babidas,BA gre-3658,55,212960,73370.0,139590.0,190.25
,2022-10-01,2022,202210,на Гоголя,Babidas,BA gre-3658,45,226845,60030.0,166815.0,277.89
,2022-11-01,2022,202211,на Гоголя,Babidas,BA gre-3658,32,135104,42688.0,92416.0,216.49
,2022-12-01,2022,202212,на Гоголя,Babidas,BA gre-3658,39,130572,52026.0,78546.0,150.97
,2021-01-01,2021,202101,на Гоголя,Babidas,BA earth-3530,39,209469,78624.0,130845.0,166.42
,2021-02-01,2021,202102,на Гоголя,Babidas,BA earth-3530,24,129528,48384.0,81144.0,167.71
,2021-03-01,2021,202103,на Гоголя,Babidas,BA earth-3530,20,108960,40320.0,68640.0,170.24
,2021-04-01,2021,202104,на Гоголя,Babidas,BA earth-3530,36,228564,72576.0,155988.0,214.93
,2021-05-01,2021,202105,на Гоголя,Babidas,BA earth-3530,46,295688,92736.0,202952.0,218.85
,2021-06-01,2021,202106,на Гоголя,Babidas,BA earth-3530,44,252516,88704.0,163812.0,184.67
,2021-07-01,2021,202107,на Гоголя,Babidas,BA earth-3530,46,152812,92736.0,60076.0,64.78
,2021-08-01,2021,202108,на Гоголя,Babidas,BA earth-3530,39,203814,78624.0,125190.0,159.23
,2021-09-01,2021,202109,на Гоголя,Babidas,BA earth-3530,41,200941,82656.0,118285.0,143.11
,2021-10-01,2021,202110,на Гоголя,Babidas,BA earth-3530,34,212364,68544.0,143820.0,209.82
,2021-11-01,2021,202111,на Гоголя,Babidas,BA earth-3530,24,131160,48384.0,82776.0,171.08
,2021-12-01,2021,202112,на Гоголя,Babidas,BA earth-3530,29,129920,58464.0,71456.0,122.22
,2022-01-01,2022,202201,на Гоголя,Babidas,BA earth-3530,43,213151,86688.0,126463.0,145.88
,2022-02-01,2022,202202,на Гоголя,Babidas,BA earth-3530,27,163917,54432.0,109485.0,201.14
,2022-03-01,2022,202203,на Гоголя,Babidas,BA earth-3530,22,121308,44352.0,76956.0,173.51
,2022-04-01,2022,202204,на Гоголя,Babidas,BA earth-3530,40,233240,80640.0,152600.0,189.24
,2022-05-01,2022,202205,на Гоголя,Babidas,BA earth-3530,51,321351,102816.0,218535.0,212.55
,2022-06-01,2022,202206,на Гоголя,Babidas,BA earth-3530,48,237792,96768.0,141024.0,145.73
,2022-07-01,2022,202207,на Гоголя,Babidas,BA earth-3530,51,199104,102816.0,96288.0,93.65
